episode,score
0,0.5719999872148057
1,0.039999999105930335
2,0.5709999872371568
3,0.4704999894835063
4,0.5719999872148057
5,0.822499981615695
6,1.0589999763295075
7,2.1689999515190657
8,2.5909999420866296
9,3.576499920058984
10,4.534499898646017
11,4.835999891906968
12,10.590499763283896
13,17.65849960530175
14,25.428499431628744
15,27.875499376934016
16,30.683999314159166
17,33.85249924333777
18,36.763499178271815
19,36.44449918540212
20,37.14999916963288
21,37.0039991728962
22,36.66799918040641
23,38.69699913505475
24,38.49549913955865
25,38.48999913968154
26,39.03849912742158
27,38.11149914814167
28,39.116499125678146
29,37.63199915885933
30,38.882999130897254
31,38.36749914241955
32,35.92149919709198
33,38.47749913996088
34,37.223999167978896
35,36.738999178819505
36,37.33099916558726
37,37.36249916488313
38,37.13099917005765
39,37.23049916783355
40,37.66199915818888
41,37.22749916790059
42,36.56099918279808
43,38.16049914704648
44,37.74949915623303
45,37.932999152131444
46,37.764999155886564
47,37.38199916444729
48,37.108499170560464
49,37.329499165620724
50,37.542499160859855
51,38.721499134507106
52,37.16949916919702
53,37.38049916448078
54,38.26199914477775
55,37.10199917070577
56,37.721999156847666
57,36.8959991753103
58,38.1719991467894
59,36.89949917523205
60,36.576999182440396
61,38.63149913651877
62,38.530499138776236
63,38.41549914134669
64,37.69149915752938
65,38.2699991445989
66,37.7339991565795
67,38.044999149628005
68,38.8199991323054
69,38.222999145649524
70,38.57699913773697
71,37.066999171488085
72,38.69949913499874
73,37.62249915907171
74,37.972499151248556
75,38.046999149583456
76,38.62449913667523
77,37.30699916612362
78,38.3629991425202
79,38.098999148421015
80,38.91899913009256
81,38.67899913545705
82,37.43299916330732
83,38.691499135177665
84,37.75499915611006
85,37.91149915261203
86,38.82549913218247
87,38.04149914970633
88,37.72499915678075
89,38.43349914094446
90,38.251999145001264
91,37.14299916978935
92,37.552499160636366
93,38.50349913937979
94,37.78949915533899
95,37.83049915442254
96,38.15799914710232
97,37.94049915196381
98,36.91199917495271
99,37.21749916812418
